kmeans_cluster_k10,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0,0.17838828135837762,0.08898678403927648,0.04574495948514164,0.027382494754791358,0.009707090793796612,0.0016923334296171046,0.001048711054972606,0.0030681551386212385,0.005443809142665203,0.009660734115103944,0.013852350425210687,0.05820220903717275,0.15023514925283035,0.16639119934592922,0.0924596188651185,0.037893604435066744,0.03668258808852945,0.09605641750126716,0.17949985683579064,0.31680443189250657,0.42618657926744735,0.404827426587962,0.28922158818197163,0.3198561863190394
1,97.10635154296378,0.19915429805102491,0.03463958493412466,0.018697082214710965,0.0,0.0,0.0015873015873015866,0.0079351851851852,0.01824885660478882,0.01866073638494945,0.025056811048336465,0.08072756399145696,0.17234980245001025,0.22801367056962615,0.19957162039620616,0.1293167309099597,0.14579475111272133,0.29234169235721297,26.35741493848384,132.6662747305665,205.8289573936556,322.56760039490956,149.28271357060433,26.36788700760241
2,0.11874371604647688,0.06898957377517276,0.040571820896190554,0.024395728458630438,0.009026293700616203,0.006582635251716326,0.010631115971149678,0.14030473387206888,0.28331324753719145,0.40984508061092384,0.4933220501353872,0.5731019387526977,0.6320859340780117,0.6680481505810532,0.6651741481276174,0.6375485093835639,0.6201395467190659,0.6250200654516682,0.63757843769544,0.6177601373136693,0.5565236442741138,0.45528706701738897,0.3349739108123839,0.20420020139645617
3,0.03829121035212165,0.018990183193258965,0.010617626552975011,0.006530889770436433,0.0010972125595638232,0.0005374813095328924,0.001969332561658048,0.0499942998855263,0.12257454311624946,0.18234417680686277,0.22170582965157465,0.3432967856571798,0.5156299067439886,0.6045989534103399,0.5395828279416048,0.4262015062663823,0.37126669066533724,0.4028137216433354,0.4584953900322393,0.5183452848331275,0.49711657834593126,0.37961921460803205,0.1958365018008258,0.08878146354956226
4,0.02793417366946781,0.03622782446311858,0.030412164865946383,0.03051353874883286,0.02648615001556176,0.031405895691609995,0.021675336801387238,0.07947777608134583,0.21608642698569966,0.376990704107548,312.1087248097433,143.1478928564117,47.15077228329521,355.9108052188329,88.02339572819238,29.254685219907156,0.36616419487744606,42.7957339593257,19.092358305727764,0.27543766758785143,29.050194590047838,0.18788546628456387,0.10548149815073714,0.047780714275178146
5,0.322916666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,725.0,0.927083333333333,825.0,875.0,0.339285714285714,0.354166666666667,425.0,0.0089285714285714,0.0125,0.0125,0.0125,0.0125,0.0125,0.160714285714286
6,0.28551285696121065,0.1618674713286705,0.054577627408745735,0.02661401268860328,0.0036904487958377913,0.0013917699112003922,0.001036074500145201,0.014622318425420456,0.03623015393608944,0.057406595529235445,0.07859813811664948,0.11028656869441229,0.1482869786233046,0.16782986185836377,0.17000981096301412,0.16811801714373342,0.21449165228022984,0.3357120422472109,0.4935565458501853,0.6512042749143406,0.755007021233504,0.75567491084044,0.6571517600709076,0.47179148236176793
7,2.3197805033558443,0.3270070070532753,0.3412965220708221,0.28165296170462095,0.20432179964053584,0.16633951059664154,0.0019140227804211193,0.030463498490941956,0.042584927158939315,0.08479829322240355,0.17970786753904364,0.2640148925039247,0.3100976497197934,0.6051388069041358,0.3046657093748194,0.36005666084457544,0.3416953758285348,0.37712415118852394,0.26376607130871715,0.5773955890318411,0.42071311882103507,0.5523678974148476,1.0305686364513387,1.1696533841976342
8,0.774061925034166,0.778948597673021,0.7715180566536425,0.714289679307633,0.6489886048694762,0.5621667289124708,0.5053046674085518,0.4584953822882838,0.44269771954721454,0.4631881047064849,0.4834440268639257,0.5004614711173582,0.5136611247375487,0.5183103982456927,0.5158817884051905,0.5248192259680305,0.5062447466990596,0.4950687745872937,0.4959304108088548,0.5334982344371068,0.5746681337498974,0.6364442554108428,0.6663525734053569,0.7512404084806119
9,45.741745069547115,33.99339443160418,13.202675623758958,19.920203715449748,2.8578628747795416,8.533333333333333,0.006156159955021431,8.372257842802593,13.545553832414846,22.481497954693353,5.761776075634456,23.568436559138682,12.942222274019041,0.22609313166552938,42.33052639843201,24.87633972294809,0.1610579214118453,15.359185538336714,21.192562655291376,16.505542528022485,31.511643357150444,4.29468906008825,27.82744283075889,77.01706638259124
